        Type         |        Subtype        |   Base   |   Size   |  CRC32   |   Name 
 Section             | GUID defined          |   N/A    | 000003BB | 426BEB5E | -------- EE4E5898-3914-4259-9D6E-DC7BD79403CF
 Section             | Raw                   |   N/A    | 00000527 | B317150A | --------- Raw section
 File                | Freeform              |   N/A    | 000003B7 | 5C47AFC4 | ------- 6DEC678E-9AFF-4EDE-B1CC-B2BFF2825441
 Section             | GUID defined          |   N/A    | 0000039F | 2B00EE60 | -------- EE4E5898-3914-4259-9D6E-DC7BD79403CF
 Section             | Raw                   |   N/A    | 00000510 | 3C80C096 | --------- Raw section
 File                | Freeform              |   N/A    | 00000371 | 4518F1EA | ------- 717539BE-520A-4158-89D3-89E599AF47C5
 Section             | GUID defined          |   N/A    | 00000359 | 357FEFBB | -------- EE4E5898-3914-4259-9D6E-DC7BD79403CF
 Section             | Raw                   |   N/A    | 000004C7 | 57AEAFE6 | --------- Raw section
 File                | Freeform              |   N/A    | 0000045E | B71D8AE5 | ------- 05DF2256-B0F7-439A-A3A1-60215CECC7F8
 Section             | GUID defined          |   N/A    | 00000446 | 93FEC27E | -------- EE4E5898-3914-4259-9D6E-DC7BD79403CF
 Section             | Raw                   |   N/A    | 000005B4 | 76BC91B3 | --------- Raw section
 File                | Freeform              |   N/A    | 00000448 | 15E16DE4 | ------- D2EA26AD-D33D-4882-81CB-66B6FBA0E10D
 Section             | GUID defined          |   N/A    | 00000430 | 867C4427 | -------- EE4E5898-3914-4259-9D6E-DC7BD79403CF
 Section             | Raw                   |   N/A    | 00000599 | 35FED11B | --------- Raw section
 File                | Freeform              |   N/A    | 000003CE | 6AB314BD | ------- A662B0C2-2821-4483-8383-3C504EDD2FA2
 Section             | GUID defined          |   N/A    | 000003B6 | C2104249 | -------- EE4E5898-3914-4259-9D6E-DC7BD79403CF
 Section             | Raw                   |   N/A    | 00000523 | 50ADCE02 | --------- Raw section
 File                | Freeform              |   N/A    | 000003FA | 7AB58226 | ------- 48624FD9-23C8-417F-A423-931511493C86
 Section             | GUID defined          |   N/A    | 000003E2 | F8D90B13 | -------- EE4E5898-3914-4259-9D6E-DC7BD79403CF
 Section             | Raw                   |   N/A    | 0000054C | 138C5DAE | --------- Raw section
 File                | Freeform              |   N/A    | 0000043F | 695ACAC6 | ------- B98CF0EE-CC74-43A2-BEE0-76057B02317C
 Section             | GUID defined          |   N/A    | 00000427 | 2C78895C | -------- EE4E5898-3914-4259-9D6E-DC7BD79403CF
 Section             | Raw                   |   N/A    | 00000591 | E9C5A8AE | --------- Raw section
 File                | Freeform              |   N/A    | 00000367 | 32E4CCC7 | ------- 33AA2B9D-EA75-4D39-9A03-94051D93B333
 Section             | GUID defined          |   N/A    | 0000034F | C0D260F2 | -------- EE4E5898-3914-4259-9D6E-DC7BD79403CF
 Section             | Raw                   |   N/A    | 000004BE | F24AA8FF | --------- Raw section
 File                | Freeform              |   N/A    | 0000046F | 9AEF2BC3 | ------- 0F9639D6-20B1-4AF4-9F69-4B67A54C1CF4
 Section             | GUID defined          |   N/A    | 00000457 | 79C6F283 | -------- EE4E5898-3914-4259-9D6E-DC7BD79403CF
 Section             | Raw                   |   N/A    | 000005C1 | 84579656 | --------- Raw section
 File                | Freeform              |   N/A    | 000003BA | BE2BCE61 | ------- 8AB56C7C-0A1A-46D8-9D99-C079AEB61466
 Section             | GUID defined          |   N/A    | 000003A2 | EA9B8839 | -------- EE4E5898-3914-4259-9D6E-DC7BD79403CF
 Section             | Raw                   |   N/A    | 0000050E | C4615FB5 | --------- Raw section
 File                | Freeform              |   N/A    | 00000364 | B46CDB05 | ------- 454837EF-BD48-4EF9-B31E-C3944BCE672A
 Section             | GUID defined          |   N/A    | 0000034C | 85DB4CA8 | -------- EE4E5898-3914-4259-9D6E-DC7BD79403CF
 Section             | Raw                   |   N/A    | 000004BB | 630E1767 | --------- Raw section
 File                | Freeform              |   N/A    | 000003BA | D4338E66 | ------- B6DB6DE8-92D9-4900-9C4B-42F41827D602
 Section             | GUID defined          |   N/A    | 000003A2 | 92571243 | -------- EE4E5898-3914-4259-9D6E-DC7BD79403CF
 Section             | Raw                   |   N/A    | 00000511 | 1B526DEF | --------- Raw section
 File                | Freeform              |   N/A    | 000003C5 | 2BDFD0DD | ------- 2915AF7D-6426-48EB-9F65-7109F2313645
 Section             | GUID defined          |   N/A    | 000003AD | 896D3AC9 | -------- EE4E5898-3914-4259-9D6E-DC7BD79403CF
 Section             | Raw                   |   N/A    | 00000518 | 689E0976 | --------- Raw section
 File                | Freeform              |   N/A    | 00000433 | 36591934 | ------- 48BCE565-91EF-4D61-BB2E-018988ECEA65
 Section             | GUID defined          |   N/A    | 0000041B | 8D79CA64 | -------- EE4E5898-3914-4259-9D6E-DC7BD79403CF
 Section             | Raw                   |   N/A    | 00000574 | 6A78998E | --------- Raw section
 File                | Freeform              |   N/A    | 00000246 | 05D8F83D | ------- 9C5C3341-525B-40EA-A017-6CC55993FD8D
 Section             | GUID defined          |   N/A    | 0000022E | 87A7E1E4 | -------- EE4E5898-3914-4259-9D6E-DC7BD79403CF
 Section             | Raw                   |   N/A    | 00000205 | 869DD121 | --------- Raw section
 File                | Freeform              |   N/A    | 00000676 | 551A14DD | ------- 1009AEC7-D4FB-4F22-96C0-5DFE05283FBB
 Section             | GUID defined          |   N/A    | 0000065E | CAC76F4C | -------- EE4E5898-3914-4259-9D6E-DC7BD79403CF
